날짜,전체거래의 이익,전체거래의 이익 누적,매수거래의 이익,매수거래의 이익 누적,매도거래의 이익,매도거래의 이익누적,전체거래의 거래횟수,매수거래의 거래횟수,매도거래의 거래횟수,가격
2014-04-17,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,104.590000
2014-04-21,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,104.350000
2014-04-22,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,102.130000
2014-04-23,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,101.550000
2014-04-24,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,101.810000
2014-04-25,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,100.690000
2014-04-28,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,100.870000
2014-04-30,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,99.690000
2014-05-01,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,99.210000
2014-05-02,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,99.990000
2014-05-05,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,99.380000
2014-05-06,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,99.860000
2014-05-07,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,100.850000
2014-05-08,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,100.270000
2014-05-09,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,100.030000
2014-05-12,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,100.620000
2014-05-13,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,101.060000
2014-05-14,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,102.070000
2014-05-15,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,101.560000
2014-05-16,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,102.180000
2014-05-19,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,102.960000
2014-05-20,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,102.440000
